i,j,ba,mcc,auc,Sensitivity,Specificity,f1,pos_LR,ppv,average_precision_score
8,5,0.5950631527811513,0.1911622335944736,0.5866984454700024,0.39664804469273746,0.7934782608695652,0.5347985347985349,1.9206115848279917,0.40331491712707185,0.3673387345506058
8,6,0.5326549291982986,0.12730755367696958,0.4348426927977889,0.10596026490066225,0.959349593495935,0.7129909365558913,2.6066225165562913,0.5673076923076923,0.4784673914021228
8,7,0.586612108313358,0.1537111824088377,0.6116808119600696,0.5355871886120996,0.6376370280146163,0.7098305084745762,1.4780406112622984,0.8004587155963303,0.8221228105092631
8,8,0.9240512279077839,0.8650962800556249,0.9753803766162391,0.9737569060773481,0.8743455497382199,0.908843537414966,7.749482044198894,0.9461756373937678,0.9639509201468835
8,11,0.7874675430055177,0.5747718747174381,0.8609826355079521,0.7383966244725738,0.8365384615384616,0.7837837837837839,4.517249937949864,0.7372881355932204,0.8615615303494345
8,14,0.5238673139158576,0.07750636962068862,0.4667677993527508,0.13106796116504854,0.9166666666666666,0.6885758998435053,1.5728155339805818,0.5513784461152882,0.4952531653497562
8,15,0.5001534314741862,0.0025043075544897934,0.3784038022934975,0.0017582417582417582,0.9985486211901307,0.23247170130089545,1.2114285714286002,0.1315487571701721,0.09771135923477288
8,16,0.6209196484620214,0.2111946268665288,0.6588721489851432,0.538135593220339,0.7037037037037037,0.4615384615384615,1.8162076271186443,0.3433734939759036,0.39830711524208084
11,3,0.6182194616977226,0.23642633670279967,0.6273217982845312,0.6173913043478261,0.6190476190476191,0.621160409556314,1.6206521739130435,0.6232876712328768,0.6087129210691503
11,5,0.6148743016759777,0.24317260194956158,0.5858483118775808,0.3547486033519553,0.875,0.5590277777777778,2.8379888268156424,0.4107142857142857,0.3584724460968576
11,6,0.5019562447280101,0.029175679270424252,0.4040094043324539,0.006622516556291391,0.997289972899729,0.7097396335583415,2.4437086092715097,0.5508982035928144,0.46710838059908066
11,7,0.6008654058716694,0.17735073429974257,0.6285240419417341,0.5854092526690391,0.6163215590742996,0.7010737790093523,1.525780941083432,0.8128514056224899,0.8252718593629007
11,8,0.6551155592837927,0.38252868276747476,0.7060975962511932,0.925414364640884,0.38481675392670156,0.5042881646655233,1.504290584224756,0.7313432835820896,0.6107679529097635
11,11,0.9711031320999675,0.941461731279081,0.9918046088932165,0.9662447257383966,0.9759615384615384,0.9689737470167065,40.195780590717256,0.9620853080568721,0.9888706752939139
11,14,0.5620550161812298,0.12512651152013482,0.5449838187702266,0.6407766990291263,0.48333333333333334,0.5395348837209303,1.2402129658628251,0.6105263157894737,0.5486999172552092
11,15,0.5,0.0,0.43332525239636993,1.0,0.0,0.0,1.0,0.0,0.10673645499789111
11,16,0.5907616656204226,0.20907349222127566,0.5903954802259886,0.8728813559322034,0.30864197530864196,0.36764705882352944,1.2625605326876514,0.45454545454545453,0.4315251157553972
14,3,0.57826826382727,0.16095752081917192,0.5864137829044661,0.6956521739130435,0.4608843537414966,0.5241779497098646,1.2903579755863392,0.6076233183856502,0.578733803728964
14,5,0.570439640514938,0.1386931112960471,0.5576724556716056,0.6843575418994413,0.45652173913043476,0.4409448818897638,1.259217877094972,0.4263959390862944,0.38007823162886006
14,6,0.6122417846695023,0.23176038043959724,0.6119097614817208,0.4900662251655629,0.7344173441734417,0.6826196473551637,1.8452493580213543,0.6376470588235295,0.6224371860951067
14,7,0.5453487414445537,0.09399524130372794,0.5008999744257718,0.297153024911032,0.7935444579780755,0.7802395209580838,1.4393075719879485,0.7673733804475854,0.722512238915556
14,8,0.5218644239391398,0.06786133636965848,0.48444505510398883,0.9102209944751382,0.13350785340314136,0.20481927710843373,1.0504665253459298,0.4396551724137931,0.35022319089778403
14,11,0.5090676728334956,0.023920067804773123,0.4651087309315157,0.8354430379746836,0.18269230769230768,0.26666666666666666,1.0221891288160834,0.4935064935064935,0.46099832162879273
14,14,0.9892394822006472,0.9775599680039534,0.999757281553398,0.9951456310679612,0.9833333333333333,0.989517819706499,59.708737864077484,0.9957805907172996,0.9997930860017795
14,15,0.6814928467758656,0.2539119948134903,0.7369233959074307,0.6764835164835165,0.6865021770682148,0.3591495823842065,2.157857142857143,0.24318766066838046,0.2666447322925923
14,16,0.5103055032433563,0.02600099987153214,0.44345051265955215,0.1440677966101695,0.8765432098765432,0.4011299435028248,1.166949152542373,0.2600732600732601,0.22425391512242202
15,3,0.5826013013901212,0.16579406313930956,0.596561668145519,0.6260869565217392,0.5391156462585034,0.5660714285714286,1.3584469757741056,0.5958646616541353,0.5808626364913912
15,5,0.6402113189215448,0.26867192071145835,0.6421848433325237,0.5195530726256983,0.7608695652173914,0.5645161290322581,2.1726764855256477,0.44871794871794873,0.41129975092820426
15,6,0.6114835154974066,0.22606985946222583,0.6154633069509503,0.5264900662251656,0.6964769647696477,0.6684005201560468,1.7345967360454118,0.6425,0.6068781968518099
15,7,0.5672862276279687,0.13395146148558804,0.533390080667184,0.8416370106761566,0.29293544457978077,0.4349005424954792,1.1903255568735995,0.843859649122807,0.781091699240176
15,8,0.5142930490873854,0.0703161340496517,0.36975716641115386,0.9709944751381215,0.05759162303664921,0.10352941176470588,1.0303330263965622,0.5116279069767442,0.3065044485682242
